Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1964","1964","ha","261100","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1964","1964","kg/ha","660.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1964","1964","t","172400","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1965","1965","ha","293300","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1965","1965","kg/ha","518.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1965","1965","t","152100","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1966","1966","ha","335300","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1966","1966","kg/ha","459","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1966","1966","t","153900","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1967","1967","ha","336000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1967","1967","kg/ha","495.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1967","1967","t","166400","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1968","1968","ha","252400","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1968","1968","kg/ha","526.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1968","1968","t","133000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1969","1969","ha","281200","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1969","1969","kg/ha","879.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1969","1969","t","247200","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1970","1970","ha","245700","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1970","1970","kg/ha","820.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1970","1970","t","201500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1971","1971","ha","257100","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1971","1971","kg/ha","682.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1971","1971","t","175500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1972","1972","ha","256500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1972","1972","kg/ha","716.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1972","1972","t","183700","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1973","1973","ha","280000","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1973","1973","kg/ha","759.3","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1973","1973","t","212600","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1974","1974","ha","222400","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1974","1974","kg/ha","895.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1974","1974","t","199100","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1975","1975","ha","223200","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1975","1975","kg/ha","891.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1975","1975","t","199000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1976","1976","ha","223922","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1976","1976","kg/ha","612.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1976","1976","t","137100","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1977","1977","ha","223807","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1977","1977","kg/ha","696.6","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1977","1977","t","155900","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1978","1978","ha","223000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1978","1978","kg/ha","543.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1978","1978","t","121300","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1979","1979","ha","224000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1979","1979","kg/ha","459.8","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1979","1979","t","103000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1980","1980","ha","224000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1980","1980","kg/ha","603.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1980","1980","t","135200","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1981","1981","ha","224000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1981","1981","kg/ha","435.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1981","1981","t","97500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1982","1982","ha","224000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1982","1982","kg/ha","722.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1982","1982","t","161866","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01610","Coffee, green","1983","1983","ha","224000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1983","1983","kg/ha","661.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","1983","1983","t","148224","A","Official figure",""
